,File Name,Plant,Site,Controller,Controller Count,Date,Day,Month,Year,Back Up Saved,Network/Communication Device,ODA Frost,Immersion Frost,Room Frost/3rd Stage Frost,BST/GMT Start +1HR,Heat Disapation,Panel Lights,Panel Condition,Boiler Lead/Lag,Input Analogue,Input Digital,Output Analogue,Output Digital,Maintenance Analogue,Maintenance Digital,Scheduling,Scheduling Count,Fault Count,Falut,Comments,Recommendation
1,aall\50-0066A Donaghy Ps Dungannon.pdf,Boilerhouse,50-0066A Donaghy PS ,"Trend IQ220,DP",2,6-2-2020,6,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,7,0,1,9,0,0,"VT Heat,CT Heat,DHW",3,0,,,
2,aall\50-0142A Newmills Ps.pdf,Boilerhouse,50-0142A Newmills Ps ,"Odyssey,Keypad",2,5-2-2020,5,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,2,0,10,0,0,"Zone 1,Zone 2,DHW",3,1,sensor,faulty,replace
3,aall\50-0166A Walker Memorial PS.pdf,Boilerhouse,50-0166A Walker Memorial Ps ,"Odyssey,Keypad",2,4-2-2020,4,2,2020,Un-Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,2,0,6,0,0,"Zone 1,Zone 2,DHW",3,4,"Frost,no back up,Dhw,zone 1 sensor","no way to test,not available,Resistor used,located behind door and above heating pipe",replace
4,aall\50-0246A Primate Dixon Ps.pdf,Boilerhouse,50-0246A Primate Dixon Ps ,"Trend 151, Trend Modem,FPK Screen",3,5-2-2020,5,2,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,11,9,0,12,0,0,"Sch Heat,DHW,Nursery,Assembly Hall,Dining Room",5,1,boilers,not making temperature high fire turned back to 30 deg by boiler rep,replace
5,aall\50-0318A St Josephs PS Meigh.pdf,Boilerhouse,50-0318A St Josephs PS ,"Siemens PXC22,Keypad (office)",2,13-3-2020,13,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,3,1,7,0,0,"Dining Hall Area,Sch VT,SMK Times",3,4,"back up,frost,software,DHW/SMK","none available,not board spec,not operating to settings every time a change is made,Suspect pipework issues and control stategy incorrect",replace
6,aall\50-0424A St Peters PS Cloughreagh.pdf,Boilerhouse/Plantroom,50-0424A St Peters PS Cloughreagh ,"Trend IQ241, IQ233,Iqview",3,13-3-2020,13,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,20,3,1,13,0,0,"Groundfloor,1st Floor,MP Hall,SMK,AHU,SMK DHW,Sch DHW",7,0,,,
7,aall\Armagh Christian Brothers PS - Fail.pdf,Bottom Main Boilerhouse,50-0184A Armagh Christian Brothers PS ,Siemens PXM10 SiemensPXC36,1,11-10-2019,11,10,2019,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,16,0,3,12,0,0,"Dining Hall Htg,School Zone 1 Htg,School Zone 2 Htg,SMK Htg & DHW,School DHW",5,1,1,Boiler No.2 not operational,Repair- By Others
8,aall\Augher Central PS - Fail.pdf,Boilerhouse,Augher Central PS 50-0014A ,"Trend IQ3 xcite + xcite 4DO +IQ412,Touchscreen",2,17-10-2019,17,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,7,0,10,0,0,"DHW,Main School,EXT & Hall",3,3,"room sensors,Optimum start,Labels","series parallel to simulate average temperatures but have been set upincorrectly and the wrong trend tables have been used.,Not workinng correctly for hall circuit.,software labels have been wrote incorrectly.","re do strategy and if does not work correctly as thishas a history of no then install new room sensors,software changes,software changes"
9,aall\Aughnacloy Regional PS - Pass.pdf,Boilerhouse,Aughnacloy PS PS 50-0016A ,"Delta 1616E,DAC 633 x2( one in assembly store),DFM400P,Touchscreen",4,17-10-2019,17,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,20,2,5,9,0,0,"Class 3-5 Heating,Main School,Hall,DHW",4,0,,,
10,aall\Ballylifford PS - Pass.pdf,Boilerhouse,50-0190A Ballylifford PS ,"Delta DSC 1616, 332, DFM400P, HMI Touchscreen",4,2-3-2020,2,3,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,8,0,2,8,0,0,"School HTG,Hall HTG,Kitchen HTG",3,0,,,
